"Date","Price","Open","High","Low","Vol.","Change %"
"06/06/2024","1.08","1.07","1.11","1.08","3.23M","0.93%"
"06/05/2024","1.07","1.15","1.11","1.07","6.10M","-6.96%"
"06/04/2024","1.15","1.15","1.15","1.09","8.01M","-1.71%"
"06/03/2024","1.17","1.10","1.17","1.17","2.82M","6.36%"
"05/31/2024","1.10","1.20","1.22","1.10","4.12M","-8.33%"
"05/30/2024","1.20","1.15","1.20","1.20","832.38K","4.35%"
"05/29/2024","1.15","1.11","1.15","1.07","8.33M","3.60%"
"05/28/2024","1.11","1.10","1.11","1.10","10.31M","0.91%"
"05/27/2024","1.10","1.20","1.28","1.10","10.82M","-8.33%"
"05/24/2024","1.20","1.26","1.29","1.14","9.43M","-4.76%"
"05/23/2024","1.26","1.39","1.26","1.26","1.70M","-9.35%"
"05/22/2024","1.39","1.39","1.40","1.26","1.53M","0.00%"
"05/21/2024","1.39","1.44","1.39","1.30","2.15M","-3.47%"
"05/20/2024","1.44","1.44","1.44","1.31","694.56K","0.00%"
"05/17/2024","1.44","1.39","1.44","1.37","4.76M","3.60%"
"05/16/2024","1.39","1.44","1.39","1.39","639.55K","-3.47%"
"05/15/2024","1.44","1.60","1.60","1.44","1.54M","-10.00%"
"05/14/2024","1.60","1.60","1.60","1.59","856.02K","0.00%"
"05/13/2024","1.60","1.62","1.60","1.46","1.71M","-1.23%"
"05/10/2024","1.62","1.60","1.62","1.48","4.92M","1.25%"
"05/09/2024","1.60","1.64","1.64","1.60","5.37M","-2.44%"
"05/08/2024","1.64","1.59","1.64","1.47","2.16M","3.14%"
"05/07/2024","1.59","1.47","1.60","1.47","2.86M","8.16%"
"05/06/2024","1.47","1.35","1.48","1.34","3.90M","8.89%"
"05/03/2024","1.35","1.39","1.35","1.35","635.35K","-2.88%"
"05/02/2024","1.39","1.39","1.40","1.39","1.30M","0.00%"
"04/30/2024","1.39","1.45","1.39","1.39","1.89M","-4.14%"
"04/29/2024","1.45","1.45","1.40","1.31","978.43K","0.00%"
"04/26/2024","1.45","1.45","1.40","1.31","133.97K","0.00%"
"04/25/2024","1.45","1.44","1.45","1.45","1.09M","0.69%"
"04/24/2024","1.44","1.35","1.44","1.22","2.04M","6.67%"
"04/23/2024","1.35","1.49","1.35","1.35","404.43K","-9.40%"
"04/22/2024","1.49","1.37","1.49","1.31","2.01M","8.76%"
"04/19/2024","1.37","1.25","1.37","1.37","396.26K","9.60%"
"04/18/2024","1.25","1.30","1.32","1.17","4.63M","-3.85%"
"04/17/2024","1.30","1.44","1.42","1.30","10.58M","-9.72%"
"04/16/2024","1.44","1.56","1.56","1.41","9.95M","-7.69%"
"04/15/2024","1.56","1.55","1.68","1.56","1.14M","0.65%"
