"Date","Price","Open","High","Low","Vol.","Change %"
"07/05/2024","0.61","0.60","0.62","0.61","5.82M","1.67%"
"07/04/2024","0.60","0.64","0.60","0.60","559.97K","-6.25%"
"07/03/2024","0.64","0.62","0.64","0.64","627.92K","3.23%"
"07/02/2024","0.62","0.65","0.62","0.61","1.00M","-4.62%"
"07/01/2024","0.65","0.67","0.65","0.65","319.45K","-2.99%"
"06/28/2024","0.67","0.62","0.67","0.63","3.00M","8.06%"
"06/27/2024","0.62","0.57","0.62","0.58","7.41M","8.77%"
"06/26/2024","0.57","0.55","0.60","0.55","4.71M","3.64%"
"06/25/2024","0.55","0.56","0.56","0.55","6.43M","-1.79%"
"06/24/2024","0.56","0.56","0.56","0.56","2.23M","0.00%"
"06/21/2024","0.56","0.58","0.58","0.55","2.84M","0.00%"
"06/20/2024","0.56","0.57","0.56","0.55","2.79M","-1.75%"
"06/19/2024","0.57","0.56","0.57","0.56","8.80M","1.79%"
"06/14/2024","0.56","0.56","0.60","0.54","524.90K","0.00%"
"06/13/2024","0.56","0.56","0.56","0.53","926.19K","0.00%"
"06/11/2024","0.56","0.56","0.58","0.53","287.47K","0.00%"
"06/10/2024","0.56","0.53","0.57","0.55","1.16M","5.66%"
"06/07/2024","0.53","0.56","0.55","0.53","331.40K","-5.36%"
"06/06/2024","0.56","0.56","0.55","0.53","284.24K","0.00%"
"06/05/2024","0.56","0.56","0.57","0.54","294.70K","0.00%"
"06/04/2024","0.56","0.56","0.56","0.54","1.76M","0.00%"
"06/03/2024","0.56","0.52","0.56","0.56","955.48K","7.69%"
"05/31/2024","0.52","0.54","0.58","0.52","635.82K","-3.70%"
"05/30/2024","0.54","0.54","0.55","0.54","941.82K","0.00%"
"05/29/2024","0.54","0.54","0.54","0.54","327.05K","0.00%"
"05/28/2024","0.54","0.56","0.57","0.54","2.94M","-3.57%"
"05/27/2024","0.56","0.52","0.56","0.52","7.17M","7.69%"
"05/24/2024","0.52","0.53","0.53","0.52","547.18K","-1.89%"
"05/23/2024","0.53","0.57","0.54","0.53","352.06K","-7.02%"
"05/22/2024","0.57","0.57","0.57","0.57","1.08M","0.00%"
"05/21/2024","0.57","0.56","0.57","0.54","1.45M","1.79%"
"05/20/2024","0.56","0.58","0.57","0.53","2.16M","-3.45%"
"05/17/2024","0.58","0.58","0.56","0.54","31.18K","0.00%"
"05/16/2024","0.58","0.58","0.58","0.53","1.15M","0.00%"
"05/15/2024","0.58","0.58","0.58","0.58","124.25K","0.00%"
"05/14/2024","0.58","0.55","0.58","0.58","296.20K","5.45%"
"05/13/2024","0.55","0.55","0.55","0.55","437.63K","0.00%"
"05/10/2024","0.55","0.58","0.55","0.55","3.09M","-5.17%"
"05/09/2024","0.58","0.55","0.58","0.58","658.09K","5.45%"
"05/08/2024","0.55","0.55","0.59","0.55","266.00K","0.00%"
"05/07/2024","0.55","0.56","0.56","0.55","6.13M","-1.79%"
"05/06/2024","0.56","0.56","0.56","0.56","1.69M","0.00%"
"05/03/2024","0.56","0.56","0.59","0.56","187.78K","0.00%"
"05/02/2024","0.56","0.56","0.57","0.56","313.22K","0.00%"
"04/30/2024","0.56","0.56","0.58","0.55","45.71K","0.00%"
"04/29/2024","0.56","0.56","0.56","0.56","744.22K","0.00%"
"04/26/2024","0.56","0.56","0.56","0.56","1.42M","0.00%"
"04/25/2024","0.56","0.55","0.56","0.56","413.56K","1.82%"
"04/24/2024","0.55","0.57","0.56","0.55","1.19M","-3.51%"
"04/23/2024","0.57","0.56","0.57","0.55","2.16M","1.79%"
"04/22/2024","0.56","0.56","0.56","0.56","326.67K","0.00%"
"04/19/2024","0.56","0.55","0.56","0.55","2.48M","1.82%"
"04/18/2024","0.55","0.55","0.56","0.55","1.73M","0.00%"
"04/17/2024","0.55","0.55","0.58","0.55","1.63M","0.00%"
"04/16/2024","0.55","0.60","0.56","0.55","11.84M","-8.33%"
"04/15/2024","0.60","0.57","0.60","0.60","433.32K","5.26%"
"04/12/2024","0.57","0.60","0.59","0.57","849.59K","-5.00%"
"04/08/2024","0.60","0.64","0.60","0.60","2.54M","-6.25%"
"04/05/2024","0.64","0.64","0.65","0.64","429.93K","0.00%"
"04/04/2024","0.64","0.70","0.64","0.64","1.31M","-8.57%"
"04/03/2024","0.70","0.64","0.70","0.64","1.04M","9.38%"
"04/02/2024","0.64","0.62","0.64","0.64","443.75K","3.23%"
"03/28/2024","0.62","0.58","0.62","0.62","757.67K","6.90%"
"03/27/2024","0.58","0.60","0.60","0.58","914.59K","-3.33%"
"03/26/2024","0.60","0.59","0.60","0.59","930.71K","1.69%"
"03/25/2024","0.59","0.60","0.59","0.59","549.50K","-1.67%"
"03/22/2024","0.60","0.60","0.60","0.58","1.01M","0.00%"
"03/21/2024","0.60","0.60","0.60","0.60","1.58M","0.00%"
"03/20/2024","0.60","0.61","0.61","0.60","1.99M","-1.64%"
"03/19/2024","0.61","0.60","0.62","0.60","2.05M","1.67%"
